encoder,angle_input,Window,Throttle_input,Motor_output,Window_lower,Window_upper
319.2,180,90-270,1510,1510,90,270
201.7,180,90-270,1509,1100,90,270
341.3,180,90-270,1510,1510,90,270
315.7,180,90-270,1510,1510,90,270
228.8,180,90-270,1510,1100,90,270
48.6,180,90-270,1510,1510,90,270
325.5,180,90-270,1510,1510,90,270
149,180,90-270,1510,1100,90,270
283.8,180,90-270,1510,1510,90,270
19.9,180,90-270,1510,1510,90,270
83.1,180,90-270,1510,1510,90,270
251.9,180,90-270,1510,1100,90,270
168.4,180,90-270,1510,1100,90,270
139,180,90-270,1510,1100,90,270
339.3,180,90-270,1510,1510,90,270
168.4,180,90-270,1510,1100,90,270
2.3,180,90-270,1510,1510,90,270
336.5,180,90-270,1510,1510,90,270
247.2,180,90-270,1510,1100,90,270
49,180,90-270,1510,1510,90,270
302.8,180,90-270,1510,1510,90,270
226.1,180,90-270,1510,1100,90,270
67.4,180,90-270,1510,1510,90,270
319.7,180,90-270,1510,1510,90,270
142.1,180,90-270,1510,1100,90,270
312.8,180,90-270,1510,1510,90,270
105,180,90-270,1510,1100,90,270
37.4,180,90-270,1509,1509,90,270
302,180,90-270,1510,1510,90,270
207.9,180,90-270,1510,1100,90,270
358.8,180,90-270,1510,1510,90,270
21.4,180,90-270,1510,1510,90,270
114.4,180,90-270,1510,1100,90,270
327.3,180,90-270,1510,1510,90,270
164.7,180,90-270,1510,1100,90,270
5.4,180,90-270,1510,1510,90,270
344.3,0,0-0,1510,1510,0,0
86,0,0-0,1510,1510,0,0
198.2,0,0-0,1510,1510,0,0
303.1,0,0-0,1510,1510,0,0
26,0,0-0,1510,1510,0,0
155.7,0,0-0,1510,1510,0,0
283.9,0,0-0,1510,1000,0,0
236.1,0,0-0,1510,1000,0,0
65.7,0,0-0,1510,1000,0,0
59.2,0,0-0,1510,1000,0,0
271.5,0,0-0,1510,1000,0,0
268.6,0,0-0,1364,1000,0,0
77.8,0,0-0,1099,1000,0,0
93.7,0,0-0,1036,1000,0,0
248.9,0,0-0,1036,1000,0,0
188.3,0,0-0,1036,1000,0,0
323.2,0,0-0,1036,1000,0,0
214.7,0,0-0,1036,1000,0,0
258.9,0,0-0,1036,1000,0,0
93.4,0,0-0,1037,1000,0,0
54.1,0,0-0,1036,1000,0,0
143.4,0,0-0,1036,1000,0,0
19.8,0,0-0,1036,1000,0,0
6.9,0,0-0,1036,1000,0,0
114.7,0,0-0,1036,1000,0,0
351.5,0,0-0,1036,1000,0,0
333.1,0,0-0,1036,1000,0,0
58.3,0,0-0,1036,1000,0,0
264.7,0,0-0,1036,1000,0,0
199.1,0,0-0,,,0,0
